feature,coefficient,abs_coef
V14,-0.6882709379873371,0.6882709379873371
V4,0.6308121036403861,0.6308121036403861
V12,-0.4169094033214447,0.4169094033214447
V10,-0.4123897440264606,0.4123897440264606
V13,-0.26606507153360615,0.26606507153360615
Time_scaled,-0.26261833925400313,0.26261833925400313
V26,-0.2584679230221516,0.2584679230221516
V8,-0.2519382268948,0.2519382268948
V6,-0.24497095122353818,0.24497095122353818
V22,0.17430272912157746,0.17430272912157746
V11,0.16327114143312516,0.16327114143312516
V16,-0.15742270671276398,0.15742270671276398
V5,0.15532200136502064,0.15532200136502064
Amount_scaled,0.1517688526198622,0.1517688526198622
V20,-0.1361349759500127,0.1361349759500127
V9,-0.1348560482006829,0.1348560482006829
V18,0.08661115003729385,0.08661115003729385
V7,0.08173373065435437,0.08173373065435437
V17,-0.0799246654436352,0.0799246654436352
V28,0.07713175499139006,0.07713175499139006
V21,0.07663823291169358,0.07663823291169358
V1,0.06152157620514365,0.06152157620514365
V2,0.046718577289830795,0.046718577289830795
V15,0.04522499823912581,0.04522499823912581
V3,-0.043077548466686405,0.043077548466686405
V25,0.03467220407393697,0.03467220407393697
V19,-0.032762070260054316,0.032762070260054316
V24,-0.029805495799724614,0.029805495799724614
V27,0.02673086859732187,0.02673086859732187
V23,-0.02553500735960282,0.02553500735960282
