prior,param,mean,sd,lo,hi
"Narrow: N(0,1²)",Intercept,-3.2286766432270126,0.0,-3.268653086035349,-3.188700200418676
"Narrow: N(0,1²)",Age,0.12814679211167188,0.01844646892810923,0.09199171301257779,0.16430187121076595
"Narrow: N(0,1²)",Weapon Found,1.0407341090386986,0.05108299249181717,0.9406114437547369,1.1408567743226603
"Narrow: N(0,1²)",Frisked,-0.7467720351570678,0.030360435364954586,-0.8062784884723788,-0.6872655818417568
"Narrow: N(0,1²)",Winter,0.002467260076639515,0.04203088145314227,-0.07991326757151934,0.08484778772479837
"Narrow: N(0,1²)",σ_u,0.0,0.0,0.0,0.0
"Chosen: N(0,2.5²)",Intercept,-3.2844543980729277,0.0,-3.324547199100451,-3.2443615970454043
"Chosen: N(0,2.5²)",Age,0.12803312483337584,0.018490253610221306,0.09179222775734208,0.1642740219094096
"Chosen: N(0,2.5²)",Weapon Found,1.0451669357865112,0.05137058952397258,0.944480580319525,1.1458532912534976
"Chosen: N(0,2.5²)",Frisked,-0.7411285897981995,0.030488291827516983,-0.8008856417801328,-0.6813715378162662
"Chosen: N(0,2.5²)",Winter,0.0061864632736309995,0.042172211699793447,-0.07647107165796416,0.08884399820522615
"Chosen: N(0,2.5²)",σ_u,0.0,0.0,0.0,0.0
"Wide: N(0,5²)",Intercept,-3.2927116078820835,0.0,-3.332821617585234,-3.252601598178933
"Wide: N(0,5²)",Age,0.12798395144247285,0.018496814931089754,0.09173019417753693,0.16423770870740878
"Wide: N(0,5²)",Weapon Found,1.0457436725858846,0.05141281190153215,0.9449745612588816,1.1465127839128877
"Wide: N(0,5²)",Frisked,-0.7402437902261911,0.030506948030025842,-0.8000374083650418,-0.6804501720873405
"Wide: N(0,5²)",Winter,0.006782108954965319,0.042192937886414164,-0.07591604930240643,0.08948026721233708
"Wide: N(0,5²)",σ_u,0.0,0.0,0.0,0.0
