y,month_num,season,race_grp,male_bin,age_num,age_z,crime_grp,borough,precinct,precinct_idx,frisked_bin,searched_bin,weapon_found_bin,firearm_bin,violent_bg_bin,known_weapon_bin,self_init
0,1,Winter,Black,1,30.0,0.18093944,Weapon,Bronx,46,29,1,1,1,0,0,0,1
0,1,Winter,White Hispanic,1,30.0,0.18093944,Weapon,Bronx,46,29,1,0,0,0,0,0,1
0,1,Winter,Black Hispanic,1,25.0,-0.25027007,Weapon,Bronx,46,29,1,1,0,0,0,0,1
0,1,Winter,Black,1,30.0,0.18093944,Weapon,Bronx,48,31,1,0,0,0,1,0,0
0,1,Winter,White Hispanic,1,25.0,-0.25027007,Weapon,Bronx,49,32,1,0,0,0,0,0,1
0,1,Winter,Black,1,17.0,-0.9402053,Weapon,Brooklyn,69,42,1,1,1,0,0,0,1
1,1,Winter,Black,1,58.0,2.5957127,Violence,Queens,101,59,0,1,0,0,0,0,0
0,1,Winter,Black,1,29.0,0.094697535,Weapon,Queens,101,59,1,0,0,0,0,0,1
0,1,Winter,Black,1,17.0,-0.9402053,Other,Staten Island,120,75,1,0,0,0,0,1,1
0,1,Winter,Black Hispanic,1,28.0,0.008455635,Weapon,Bronx,44,27,1,1,1,0,0,0,1
0,1,Winter,Black Hispanic,1,37.0,0.78463274,Violence,Bronx,46,29,1,1,0,0,1,0,1
0,1,Winter,Black Hispanic,1,49.0,1.8195356,Property/Theft,Bronx,50,33,0,1,0,0,0,0,0
0,1,Winter,Black,1,18.0,-0.8539634,Weapon,Brooklyn,79,51,1,0,0,0,0,0,1
0,1,Winter,Black,1,20.0,-0.6814796,Weapon,Brooklyn,90,56,1,0,0,0,0,0,1
1,1,Winter,White Hispanic,1,21.0,-0.5952377,Property/Theft,Queens,108,66,0,1,0,0,0,0,0
1,1,Winter,White Hispanic,1,21.0,-0.5952377,Property/Theft,Queens,108,66,1,1,0,0,1,0,0
0,1,Winter,White Hispanic,1,21.0,-0.5952377,Property/Theft,Queens,110,68,0,0,0,0,0,0,0
0,1,Winter,Black,1,23.0,-0.42275387,Weapon,Manhattan,23,14,1,0,0,0,0,0,1
0,1,Winter,Black,1,46.0,1.5608099,Violence,Manhattan,32,20,0,0,0,0,0,0,0
0,1,Winter,White Hispanic,1,17.0,-0.9402053,Property/Theft,Brooklyn,66,39,0,0,0,0,0,0,0
1,1,Winter,Other,1,30.0,0.18093944,Other,Brooklyn,72,45,1,0,1,0,0,0,1
0,1,Winter,White Hispanic,1,40.0,1.0433584,Other,Manhattan,26,17,1,0,0,0,1,0,0
