param,mean,sd,q2_5,q97_5,ESS,Rhat
Intercept,-3.282602371510275,0.10695731520532409,-3.49465441543786,-3.0740811750608175,5872.999742913902,1.0001445273557563
Age (scaled),0.12789757281036135,0.01911304624551592,0.09028451896727226,0.16565236480070414,5953.23831822662,1.0000586864984742
Male,-0.16681623701218098,0.0681705338139394,-0.30000230300655273,-0.03411540554911855,5979.560796988186,0.9999165348465195
Frisked,-0.7411842172628876,0.05939174635268361,-0.8586318702099512,-0.6249768717712435,5965.861522028945,1.0000987644637644
Searched,2.5960231616636418,0.045874355887088436,2.5073408486356175,2.68542047334727,5778.56210537105,1.000623970548893
Weapon Found,1.0443697000776004,0.06966409351570002,0.9073053773905511,1.1788113732415135,5628.3870361571335,0.9998811246185424
Firearm Found,3.2574111470829994,0.11730400080613788,3.025428357544441,3.4885381773602733,5645.866667031864,0.9998618769481271
