covariate,mean,sd,q2_5,q97_5,prob_pos
Intercept,-3.282602371510275,0.10695731520532409,-3.49465441543786,-3.0740811750608175,0.0
Age (scaled),0.12789757281036135,0.01911304624551592,0.09028451896727226,0.16565236480070414,1.0
Male,-0.16681623701218098,0.0681705338139394,-0.30000230300655273,-0.03411540554911855,0.006833333333333334
Frisked,-0.7411842172628876,0.05939174635268361,-0.8586318702099512,-0.6249768717712435,0.0
Searched,2.5960231616636418,0.045874355887088436,2.5073408486356175,2.68542047334727,1.0
Weapon Found,1.0443697000776004,0.06966409351570002,0.9073053773905511,1.1788113732415135,1.0
Firearm Found,3.2574111470829994,0.11730400080613788,3.025428357544441,3.4885381773602733,1.0
Violent Background,0.29941213679016815,0.06574959157988251,0.17234939065239085,0.4259025662998661,1.0
Known Weapon Carrier,0.5623408737849891,0.13829782312083386,0.29210201749618253,0.8298946589226909,1.0
Self-Initiated Stop,-0.8303823302160229,0.05428788519038687,-0.9384720729141648,-0.7259159956171579,0.0
Race: White Hispanic,0.0024975008743929102,0.05128619946038159,-0.09904407013638002,0.10375112905729818,0.5246666666666666
Race: Black Hispanic,-0.0361311791665696,0.07213334805736156,-0.1767987644752003,0.10273301147175565,0.31416666666666665
Race: White,-0.044516431792414775,0.08046341663106522,-0.2051571287219264,0.11304325931843415,0.29083333333333333
Race: Other,-0.0741292757238018,0.10941599376222112,-0.2897219211546851,0.14012209776860973,0.2475
Crime: Property/Theft,2.0213594039657443,0.06689276799044411,1.8872043941262926,2.1524516584686952,1.0
Crime: Violence,2.033095511159481,0.0807973533180519,1.8767337806563649,2.1927788047729595,1.0
Crime: Trespass,1.7784452231728298,0.14012398008197738,1.5010751871992387,2.0533733028227124,1.0
Crime: Other,1.4415230485990036,0.07391428308795678,1.294342119574167,1.5870611828868895,1.0
Borough: Brooklyn,0.2713461682738203,0.05907098851775028,0.15665099976955713,0.38717052739428864,1.0
Borough: Manhattan,0.4615645234719101,0.06115713348648191,0.34203062469585604,0.5803449895298485,1.0
Borough: Queens,0.1284379413971875,0.06837590507621723,-0.005541717050084126,0.263078343740835,0.9696666666666667
Borough: Staten Island,0.23202306785512777,0.10808948279681951,0.022217182703880872,0.44737686234693036,0.9863333333333333
Season: Winter,0.006246698889547089,0.05733066694842281,-0.10626003313826675,0.11791218850120953,0.5485
Season: Spring,0.12388897395813735,0.05630984589499298,0.011626708330798057,0.23182194816202745,0.9851666666666666
Season: Summer,0.13325923098347045,0.05760508426086029,0.021168549738363164,0.24662903381519644,0.99
